В приложении 10 к Конвенции о международной ГА изложены,Рекомендуемая практика авиационной электросвязи,Стандарты авиационной электросвязи
Стандарт это,"любое требование к физическим характеристикам, конфигурации, материальной части, техническим характеристикам, персоналу или правилам, единообразное применение которого признается необходимым для обеспечения безопасности или регулярности международной аэронавигации"
Норма права - это,"общеобязательное, установленное или санкционированное и охраняемое государством правило поведения"
Приказ начальника центра ОВД относится,к локальному НПА
Какие подзаконные НПА принимает Росавиация?,ведомственные НПА
Укажите статус международной организации гражданской авиации,ICAO - специализированное учреждение ООН
По юридической силе НПА делятся,на законы,на подзаконные нормативные акты
Какие правовые нормы содержат приложения к Конвенции о международной ГА?,Стандарты,Рекомендуемая практика
Какое определение относится к нормативно-правовому акту (НПА)?,"НПА - это официальный акт правотворчества, в котором содержатся нормы права"
Локальный НПА принимается,администрацией учреждений или организаций
Что называется аэродромом?,"участок земли или акватория с сооружениями и оборудованием, предназначенный для взлёта, посадки, руления и стоянки ВС"
Что понимается под воздушным пространством РФ?,"воздушное пространство над территорией РФ, в том числе над внутренними водами и территориальным морем"
Обязательной сертификации в ГА РФ подлежат,светосигнальное и метеорологическое оборудование,"радиотехническое оборудование и оборудование авиационной электросвязи, используемое для ОВД",аэродромы
"Использование воздушного пространства (ВП) представляет собой деятельность, в процессе которой осуществляется","деятельность (строительство высотных сооружений, деятельность, в процессе которой происходят электромагнитные и другие излучения, выброс в атмосферу веществ, ухудшающих видимость, проведение взрывных работ и тому подобное), которая может представлять угрозу безопасности воздушного движения","перемещение в ВП различных материальных объектов (воздушных судов, ракет и других объектов"
Частоты для осуществления РТОП и связи  с ВС выделяются,уполномоченным органом в области обороны
К объектам единой системы организации воздушного движения относятся,Объекты связи,Объекты средств и систем ОВД,Объекты навигации,Объекты посадки
Авиационное происшествие с ВС РФ,Подлежит обязательному расследованию
Укажите элементы воздушного пространства,запретные зоны,опасные зоны,районы ОВД,зоны ОВД,районы аэродромов и аэроузлов
Целью расследования авиационного происшествия является,установление причин авиационного происшествия,принятие мер по предотвращению авиационных происшествий
Авиация РФ подразделяется на,гражданскую,государственную,экспериментальную
МПСН-Ш предназначена…. ,"для определения местоположения и управления движением воздушных судов, оборудованных бортовыми ответчиками, работающими в международном диапазоне (в режимах A/C и S), в верхнем и нижнем воздушном пространстве"
К оборудованию видеонаблюдения относятся,тепловизорные средства,телевизионные средства
Установите соответствие: средство наблюдения - направление юстировки,?
К средствам наблюдения относятся,МПСН-А,РЛС ОЛП,АЗН-К,ОРЛ-А,АЗН-В,ВРЛ,МПСН-Ш,ПРЛ,10. АРП,11. ОРЛ-Т
Укажите назначение ВРЛ,"для обнаружения ВС, определения координат (азимут-дальность), запроса и приема дополнительной информ. от ВС, оборудованных самолетными ответчиками, с последующей выдачей информации в центры (пункты) ОВД для целей контроля и ОВД"
МПСН-А предназначена,"для определения местоположения и управления движением воздушных судов, спецавтотранспорта, технических средств и других объектов, оборудованных ответчиками, находящихся на посадочной прямой и рабочей площади аэродрома"
Технология наблюдения АЗН-В отличается от АЗН-К,режимом передачи информации о местоположении ВС органу УВД
Автоматический радиопеленгатор предназначен,для выдачи информации о пеленге на воздушное судно относительно места установки антенны радиопеленгатора по сигналам бортовых радиостанций в центры (пункты) ОВД
